Essential Question,Domain,Type,Sector,Indicator,Metric,Data Element,Ed-Fi Availability,Ed-Fi Data Element Path,CEDS Availability,CEDS Data Element Path V11,CEDS Data Element Path V13,Other Data Sources,Data Capture Method,Data Status,Notes,Classification,CEDS Queries V11,CEDS Queries V13,Column 2,Column 21,Column 4,Column 5,Column 6,Column 7,Column 8
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Childhood experience,Percentage of individuals with fewer than three ACEs,Number of ACEs,Not Found,N/A,,,,Adverse Childhood Experiences,,,,,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Health insurance coverage,Percentage of individuals with health insurance,Insured status,Not Found,N/A,,,,,Automated,Available,The U.S. Census Bureau Small Area Health Insurance Estimates dashboard (linked here) provides estimates on percentage of individuals insured by state and county.,,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Health insurance coverage,Percentage of eligible individuals (children or adults) enrolled in Medicaid or CHIP,Medicaid eligibility status,Not Found,N/A,,,,,Manual,Not Available,,,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Health insurance coverage,Percentage of eligible individuals (children or adults) enrolled in Medicaid or CHIP,Medicaid enrollment,Not Found,N/A,,,,,Automated,Available,Medicaid & CHIP Enrollment Data Highlights,,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Health insurance coverage,Percentage of eligible individuals (children or adults) enrolled in Medicaid or CHIP,CHIP eligibility status,Not Found,N/A,,,,,Manual,Not Available,,,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Health insurance coverage,Percentage of eligible individuals (children or adults) enrolled in Medicaid or CHIP,CHIP enrollment,Not Found,N/A,,,,,Automated,Available,Medicaid & CHIP Enrollment Data Highlights,,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Food Security,"Percentage of individuals with high or marginal food security, as measured by the U.S. Department of Agriculture’s (USDA) Food Security Survey Module",Rating on USDA Food Security Survey module,Not Found,N/A,,,,,,,,,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Food Security,Percentage of eligible individuals participating in SNAP,SNAP eligibility,Not Found,N/A,,,,,,,,,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Food Security,Percentage of eligible individuals participating in SNAP,SNAP participation,Not Found,N/A,,,,,,,,,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Food Security,"Percentage of individuals living in a census track with low access to healthy food, as defined by the USDA’s Food Access Research Atlas",USDA Food Access Research Atlas Access Level Flag,Not Found,N/A,,,,,,,,,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Access to affordable housing,Ratio of (1) the number of affordable housing units to (2) the number of households with low and very low incomes in an area (city or county),Number of affordable housing units in city or county,Not Found,N/A,,,,,Semi-Automated,Partially Available,Data are available through the U.S. Census Bureau American Community Survey (ACS) and ACS Public Use Microdata Sample (PUMS). An example report that uses those data to report on gaps in affordable housing in Alabama is linked here.,,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Access to affordable housing,Ratio of (1) the number of affordable housing units to (2) the number of households with low and very low incomes in an area (city or county),Number of households with low income in city or county,Not Found,N/A,,,,,Automated,Available,Data available from the U.S. Census Bureau: Annual Social and Economic Supplement (ASEC) of the Current Population Survey (CPS); American Community Survey (ACS) 1-year Estimates.,,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Access to affordable housing,Ratio of (1) the number of affordable housing units to (2) the number of households with low and very low incomes in an area (city or county),Number of households with very low income in city or county,Not Found,N/A,,,,,Automated,Available,Data available from the U.S. Census Bureau: Annual Social and Economic Supplement (ASEC) of the Current Population Survey (CPS); American Community Survey (ACS) 1-year Estimates.,,,,,,,,,,
1. Do students and families have access to adequate public supports and neighborhood conditions to enable them to succeed academically and in the workforce?,Cross-Domain,AdjacentSystemConditions,"PK, K12, PS, WF",Access to affordable housing,Percentage of eligible households receiving federal rental assistance,Eligibility for federal rental assistance,Not Found,N/A,,,,,Semi-Automated,Partially Available,"The Center on Budget and Policy Priorities' Federal Rental Assistance Fact Sheets (linked here) note the federal sources from which it draws data to make its calculations: ""We also estimated the unmet need for housing assistance among all low-income households using the American Community Survey."" While not a direct measure of eligibility, it does estimate need",,,,,,,,,,
