DataElementName,OriginalDataElementName,ClusterOnlyCategory,SuggestedCategory,Sector,Notes,Indicators,IsDisaggregate
ACT completion,ACT completion,Postsecondary Transitions,Assessments,K-12,SAT and ACT participation and performance,FALSE
ACT score,ACT score,Postsecondary Transitions,Assessments,K-12,SAT and ACT participation and performance,FALSE
Advising and counseling service utilization,Advising and counseling service utilization,Postsecondary Transitions,Student Support Services,"K-12, Postsecondary",Access to college and career advising,FALSE
Age,Age (or birth date),School Climate,Demographics,"Early Learning, K-12, Postsecondary, Workforce","Numerical age as of point in time, or birth date","Enrollment in quality public pre-K; Mental and emotional well-being",FALSE
Age group,"Age group (for example, adult learners)",Postsecondary Success,Demographics,"Postsecondary, Workforce","Generalized category of age, e.g. adult or minor",,TRUE
AP course designation,AP course designation,Postsecondary Transitions,Academic Coursework,K-12,Access to early college coursework,FALSE
"AP, IB, or Dual Credit course credits",AP course passage; AP credit earned (or AP test scores); AP test completion; Dual credit course passage; Dual credit earned; Dual credit test completion; IB course passage; IB credit earned (or IB test scores); IB test completion,Postsecondary Transitions,Academic Coursework,"K-12, Postsecondary",Access to early college coursework; Early college coursework completion,FALSE
Apprenticeship program enrollment date,Apprenticeship program enrollment date,Workforce Transitions,Career & Technical Education (CTE),Workforce,Successful career transition after high school,FALSE
Average cost of attendance,Average cost of attendance,Postsecondary Success,Financial Aid & Affordability,Postsecondary,Unmet financial need,FALSE
Average expected family contribution (EFC),Average expected family contribution (EFC),Postsecondary Success,Financial Aid & Affordability,Postsecondary,Unmet financial need,FALSE
"Average financial aid amount (including grants, scholarships, and tuition waivers)",Average value of grants; Average value of scholarships; Average value of tuition waivers; Financial aid amount,Postsecondary Success,Financial Aid & Affordability,Postsecondary,Financial aid; Unmet financial need,FALSE
Average pay in county or MSA,Average pay in county or MSA,Workforce Success,Community Context,Workforce,Access to jobs paying a living wage,FALSE
Bachelor's degree completion date,Bachelor's degree completion date,Postsecondary Success,Postsecondary Outcomes,Postsecondary,Enrollment in graduate education,FALSE
Basic skills level,Basic skills level,Workforce Transitions,Assessments,Workforce,,,TRUE
Benefits availability,Benefits availability,Workforce Success,Employment & Earnings,Workforce,Job quality,FALSE
Campus climate surveys (K-12),Results on school climate survey (K-12),School Climate,School Climate,K-12,School safety,FALSE
Campus climate surveys (Postsecondary),Results on campus climate survey (Postsecondary),Postsecondary Success,School Climate,Postsecondary,School safety,FALSE
CHIP eligibility status,CHIP eligibility status,School Climate,Health & Wellness,"Early Learning, K-12",Health insurance coverage,FALSE
CHIP enrollment,CHIP enrollment,School Climate,Health & Wellness,"Early Learning, K-12",Health insurance coverage,FALSE
City or county population,City or county population,School Climate,Community Context,"Early Learning, K-12, Postsecondary, Workforce",Exposure to neighborhood crime; Neighborhood juvenile arrests,FALSE
Civic engagement surveys (K-12),Civic engagement survey results (K-12),Social-Emotional Learning,Social-Emotional Learning (SEL),K-12,Civic engagement,FALSE
Civic engagement surveys (Postsecondary),Civic engagement survey results (Postsecondary),Postsecondary Success,Social-Emotional Learning (SEL),Postsecondary,Civic engagement,FALSE
Civic engagement surveys (Workforce),Civic engagement survey results (Workforce),Workforce Success,Social-Emotional Learning (SEL),Workforce,Civic engagement,FALSE
Cohort graduation year,Cohort graduation year,Postsecondary Transitions,Attendance & Enrollment,K-12,High school graduation,FALSE
Cohort year,Cohort year,Postsecondary Transitions,Attendance & Enrollment,"K-12, Postsecondary",High school graduation,FALSE
College selectivity level,College selectivity level,Postsecondary Transitions,Postsecondary Outcomes,Postsecondary,College match,FALSE
College value-added,College value-added,Postsecondary Success,Postsecondary Outcomes,Postsecondary,Institutions' contributions to student outcomes,FALSE
Communication skills performance assessments (K-12),Communication skills performance assessment results (K-12),Social-Emotional Learning,Social-Emotional Learning (SEL),K-12,Communication skills,FALSE
Communication skills performance assessments (Postsecondary),Communication skills performance assessment results (Postsecondary),Postsecondary Success,Social-Emotional Learning (SEL),Postsecondary,Communication skills,FALSE
Communication skills performance assessments (Workforce),Communication skills performance assessment results (Workforce),Workforce Success,Social-Emotional Learning (SEL),Workforce,Communication skills,FALSE
Commute time,Commute time,Workforce Transitions,Transportation,"K-12, Postsecondary, Workforce",Access to transportation,FALSE
Course department,Course department,Postsecondary Transitions,Academic Coursework,"K-12, Postsecondary",Access to college preparatory coursework,FALSE
Course identifier or title,"Course ID  - CIP code; Course ID or course title; Course ID or course title of follow-up courses (Algebra II, Pre-calculus, Geometry, etc)",Postsecondary Transitions,Academic Coursework,"K-12, Postsecondary",Access to college preparatory coursework; Access to early college coursework; College preparatory coursework completion; CTE pathway concentration; First-year program of study concentration; Gateway course completion; Successful completion of Algebra 1 by 9th grade; Teacher credentials,FALSE
