Original Data Element Name,Data Category,Updated Category,Normalized Data Element,Potential Further Normalization,Grade or Sector Variant,Roll up to Sector?,Additional Notes (Optional),(final logical name (no sector)),Proposed final
ACT completion,Academic Assessment and Performance,Postsecondary Transitions,ACT completion,,General,,,ACT completion,ACT completion
ACT score,Academic Assessment and Performance,Postsecondary Transitions,ACT score,,General,,,ACT score,ACT score
AP course passage,Academic Assessment and Performance,Postsecondary Transitions,AP course passage,"AP, IB, or Dual Credit course credits",General,,,"AP, IB, or Dual Credit course credits","AP, IB, or Dual Credit course credits"
AP credit earned (or AP test scores),Academic Assessment and Performance,Postsecondary Transitions,AP credit earned (or AP test scores),"AP, IB, or Dual Credit course credits",General,,,"AP, IB, or Dual Credit course credits","AP, IB, or Dual Credit course credits"
AP test completion,Academic Assessment and Performance,Postsecondary Transitions,AP test completion,"AP, IB, or Dual Credit course credits",General,,,"AP, IB, or Dual Credit course credits","AP, IB, or Dual Credit course credits"
Basic skills level,Academic Assessment and Performance,Workforce Transitions,Basic skills level,,General,,,Basic skills level,Basic skills level
CTE course completion,Academic Assessment and Performance,Workforce Transitions,CTE course completion,,General,,,CTE course completion,CTE course completion
Communication skills performance assessment results (K-12),Academic Assessment and Performance,Social-Emotional Learning,Communication skills performance assessments,,K-12,K-12,,Communication skills performance assessments,Communication skills performance assessments (K-12)
Communication skills performance assessment results (Postsecondary),Academic Assessment and Performance,Postsecondary Success,Communication skills performance assessments,,Postsecondary,Postsecondary,,Communication skills performance assessments,Communication skills performance assessments (Postsecondary)
Communication skills performance assessment results (Workforce),Academic Assessment and Performance,Workforce Success,Communication skills performance assessments,,Workforce,Workforce,,Communication skills performance assessments,Communication skills performance assessments (Workforce)
Course failure (Grade 9),Academic Assessment and Performance,Postsecondary Transitions,read,Course outcome,Grade 9,K-12,"For example, completion, failure, passage",Course outcome,Course outcome
Course passage or completion,Academic Assessment and Performance,Postsecondary Transitions,Course passage or completion,Course outcome,General,K-12,"For example, completion, failure, passage",Course outcome,Course outcome
Course passage or completion (Grade 9),Academic Assessment and Performance,Postsecondary Transitions,Course passage or completion,Course outcome,Grade 9,K-12,"For example, completion, failure, passage",Course outcome,Course outcome
Course performance in English (Grade 6),Academic Assessment and Performance,Postsecondary Transitions,Course performance in English,Course performance (English and Math),Grade 6,K-12,,Course performance (English and Math),Course performance (English and Math)
Course performance in English (Grade 8),Academic Assessment and Performance,Postsecondary Transitions,Course performance in English,Course performance (English and Math),Grade 8,K-12,,Course performance (English and Math),Course performance (English and Math)
Course performance in Math (Grade 6),Academic Assessment and Performance,Postsecondary Transitions,Course performance in Math,Course performance (English and Math),Grade 6,K-12,,Course performance (English and Math),Course performance (English and Math)
Course performance in Math (Grade 8),Academic Assessment and Performance,Postsecondary Transitions,Course performance in Math,Course performance (English and Math),Grade 8,K-12,,Course performance (English and Math),Course performance (English and Math)
Cultural competency assessment results (K-12),Academic Assessment and Performance,Social-Emotional Learning,Cultural competency assessments,,K-12,K-12,,Cultural competency assessments,Cultural competency assessments (K-12)
Cultural competency assessment results (Postsecondary),Academic Assessment and Performance,Postsecondary Success,Cultural competency assessments,,Postsecondary,Postsecondary,,Cultural competency assessments,Cultural competency assessments (Postsecondary)
Cultural competency assessment results (Workforce),Academic Assessment and Performance,Workforce Success,Cultural competency assessments,,Workforce,Workforce,,Cultural competency assessments,Cultural competency assessments (Workforce)
Digital skills assessment results (K-12),Academic Assessment and Performance,Postsecondary Transitions,Digital skills assessments,,K-12,K-12,,Digital skills assessments,Digital skills assessments (K-12)
Digital skills assessment results (Postsecondary),Academic Assessment and Performance,Postsecondary Success,Digital skills assessments,,Postsecondary,Postsecondary,,Digital skills assessments,Digital skills assessments (Postsecondary)
Digital skills assessment results (Workforce),Academic Assessment and Performance,Workforce Success,Digital skills assessments,,Workforce,Workforce,,Digital skills assessments,Digital skills assessments (Workforce)
Dual credit course passage,Academic Assessment and Performance,Postsecondary Transitions,Dual credit course passage,"AP, IB, or Dual Credit course credits",General,,,"AP, IB, or Dual Credit course credits","AP, IB, or Dual Credit course credits"
Dual credit earned,Academic Assessment and Performance,Postsecondary Transitions,Dual credit earned,"AP, IB, or Dual Credit course credits",General,,,"AP, IB, or Dual Credit course credits","AP, IB, or Dual Credit course credits"
Dual credit test completion,Academic Assessment and Performance,Postsecondary Transitions,Dual credit test completion,"AP, IB, or Dual Credit course credits",General,,,"AP, IB, or Dual Credit course credits","AP, IB, or Dual Credit course credits"
GPA (Grade 8),Academic Assessment and Performance,Postsecondary Transitions,Grade point average,,Grade 8,K-12,,Grade point average,Grade point average (K-12)
Gateway course completion,Academic Assessment and Performance,Postsecondary Transitions,Gateway course completion,,General,,,Gateway course completion,Gateway course completion
Grade point average,Academic Assessment and Performance,Postsecondary Transitions,Grade point average,,Postsecondary,Postsecondary,,Grade point average,Grade point average (Postsecondary)
Grade point average (Grade 6-8),Academic Assessment and Performance,Postsecondary Transitions,Grade point average,,Grades 6-8,K-12,,Grade point average,Grade point average (K-12)
Grade point average (Grades 9-12),Academic Assessment and Performance,Postsecondary Transitions,Grade point average,,Grades 9-12,K-12,,Grade point average,Grade point average (K-12)
Higher-order thinking skills performance assessment results (K-12),Academic Assessment and Performance,Social-Emotional Learning,Higher-order thinking skills performance assessments,,K-12,K-12,,Higher-order thinking skills performance assessments,Higher-order thinking skills performance assessments (K-12)
Higher-order thinking skills performance assessment results (Postsecondary),Academic Assessment and Performance,Postsecondary Success,Higher-order thinking skills performance assessments,,Postsecondary,Postsecondary,,Higher-order thinking skills performance assessments,Higher-order thinking skills performance assessments (Postsecondary)
Higher-order thinking skills performance assessment results (Workforce),Academic Assessment and Performance,Workforce Success,Higher-order thinking skills performance assessments,,Workforce,Workforce,,Higher-order thinking skills performance assessments,Higher-order thinking skills performance assessments (Workforce)
IB course passage,Academic Assessment and Performance,Postsecondary Transitions,IB course passage,"AP, IB, or Dual Credit course credits",General,,,"AP, IB, or Dual Credit course credits","AP, IB, or Dual Credit course credits"
IB credit earned (or IB test scores),Academic Assessment and Performance,Postsecondary Transitions,IB credit earned (or IB test scores),"AP, IB, or Dual Credit course credits",General,,,"AP, IB, or Dual Credit course credits","AP, IB, or Dual Credit course credits"
IB test completion,Academic Assessment and Performance,Postsecondary Transitions,IB test completion,"AP, IB, or Dual Credit course credits",General,,,"AP, IB, or Dual Credit course credits","AP, IB, or Dual Credit course credits"
Math proficiency (or math assessment score) (Grade 1 & 2),Academic Assessment and Performance,Postsecondary Transitions,Math proficiency (or math assessment score),Math proficiency (Grades 1 and 2),Grades 1-2,K-12,,Math proficiency (Grades 1 and 2),Math proficiency (Grades 1 and 2)
Math proficiency (or math assessment score) (Grades 1 & 2),Academic Assessment and Performance,Postsecondary Transitions,Math proficiency (or math assessment score),Math proficiency (Grades 1 and 2),Grades 1-2,K-12,,Math proficiency (Grades 1 and 2),Math proficiency (Grades 1 and 2)
Math proficiency on state standardized test (Grade 3),Academic Assessment and Performance,Postsecondary Transitions,Math proficiency on state standardized test,State standardized test (Math proficiency),Grade 3,K-12,,State standardized test (Math proficiency),State standardized test (Math proficiency)
Math proficiency on state standardized test (Grade 8),Academic Assessment and Performance,Postsecondary Transitions,Math proficiency on state standardized test,State standardized test (Math proficiency),Grade 8,K-12,,State standardized test (Math proficiency),State standardized test (Math proficiency)
Math proficiency on state standardized test (Grades 9-12),Academic Assessment and Performance,Postsecondary Transitions,Math proficiency on state standardized test,State standardized test (Math proficiency),Grades 9-12,K-12,,State standardized test (Math proficiency),State standardized test (Math proficiency)
Reading proficiency (or reading assessment score) (Grade 1 & 2),Academic Assessment and Performance,Postsecondary Transitions,Reading proficiency (or reading assessment score),Reading proficiency (Grades 1 and 2),Grades 1-2,K-12,,Reading proficiency (Grades 1 and 2),Reading proficiency (Grades 1 and 2)
Reading proficiency (or reading assessment score) (Grades 1 & 2),Academic Assessment and Performance,Postsecondary Transitions,Reading proficiency (or reading assessment score),Reading proficiency (Grades 1 and 2),Grades 1-2,K-12,,Reading proficiency (Grades 1 and 2),Reading proficiency (Grades 1 and 2)
Reading proficiency on state standardized test (Grade 3),Academic Assessment and Performance,Postsecondary Transitions,Reading proficiency on state standardized test,State standardized test (Reading proficiency),Grade 3,K-12,,State standardized test (Reading proficiency),State standardized test (Reading proficiency)
Reading proficiency on state standardized test (Grade 8),Academic Assessment and Performance,Postsecondary Transitions,Reading proficiency on state standardized test,State standardized test (Reading proficiency),Grade 8,K-12,,State standardized test (Reading proficiency),State standardized test (Reading proficiency)
Reading proficiency on state standardized test (Grades 9-12),Academic Assessment and Performance,Postsecondary Transitions,Reading proficiency on state standardized test,State standardized test (Reading proficiency),Grades 9-12,K-12,,State standardized test (Reading proficiency),State standardized test (Reading proficiency)
Results on direct child assessment (cognition),Academic Assessment and Performance,Kindergarten Readiness,Direct child assessments (cognition),,PK,PK,,Direct child assessments (cognition),Direct child assessments (cognition)
Results on direct child assessment (cognition) (PK),Academic Assessment and Performance,Kindergarten Readiness,Direct child assessments (cognition),,PK,PK,,Direct child assessments (cognition),Direct child assessments (cognition)
Results on direct child assessment (language and literacy),Academic Assessment and Performance,Kindergarten Readiness,Direct child assessments (language and literacy),,PK,PK,,Direct child assessments (language and literacy),Direct child assessments (language and literacy)
Results on direct child assessment (language and literacy) (PK),Academic Assessment and Performance,Kindergarten Readiness,Direct child assessments (language and literacy),,PK,PK,,Direct child assessments (language and literacy),Direct child assessments (language and literacy)
Results on direct child assessments of executive function,Academic Assessment and Performance,Kindergarten Readiness,Direct child assessments of executive function,,PK,PK,,Direct child assessments of executive function,Direct child assessments of executive function
Results on direct child assessments of executive function (PK),Academic Assessment and Performance,Kindergarten Readiness,Direct child assessments of executive function,,PK,PK,,Direct child assessments of executive function,Direct child assessments of executive function
Results on direct child assessments of physical development (PK),Academic Assessment and Performance,Kindergarten Readiness,Direct child assessments of physical development,,PK,PK,,Direct child assessments of physical development,Direct child assessments of physical development
Results on kindergarten readiness assessment (cognition),Academic Assessment and Performance,Kindergarten Readiness,Kindergarten readiness assessments (cognition),,PK,PK,,Kindergarten readiness assessments (cognition),Kindergarten readiness assessments (cognition)
Results on kindergarten readiness assessment (cognition) (PK),Academic Assessment and Performance,Kindergarten Readiness,Kindergarten readiness assessments (cognition),,PK,PK,,Kindergarten readiness assessments (cognition),Kindergarten readiness assessments (cognition)
Results on teacher reports of executive function,Academic Assessment and Performance,Kindergarten Readiness,Teacher reports of executive function,,PK,PK,,Teacher reports of executive function,Teacher reports of executive function
Results on teacher reports of executive function (PK),Academic Assessment and Performance,Kindergarten Readiness,Teacher reports of executive function,,PK,PK,,Teacher reports of executive function,Teacher reports of executive function
